Hello,Hello World!
hello,Hello World!
how are you ,I am a Chatbot.
who are you ,I am a ChatBot running on Python and a dash of artificial intelligence.
what you want,ChatBot.
ok ,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=ok '>ok </a>
i need some help,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=i need some help'>i need some help</a>
Hello,Hello World!
Nothing,I think you hit the wrong key...
how can i help you ,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=how can i help you '>how can i help you </a>
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
what time is it,The time is now 8:11 PM EST
problem,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=problem'>problem</a>
Hello,Hello World!
i need more inofrmation ,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=i need more inofrmation '>i need more inofrmation </a>
information,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=information'>information</a>
i need more information,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=i need more information'>i need more information</a>
i want imformation about  EI,are you look for Regualar Benefit
I want  imformation about EI,did you last you job
I want  imformation about EI,what you would like to know
I want  imformation about EI,did you last you job
I want  imformation about EI,what you would like to know
I want  imformation about EI,do you know there are 6 types of EI
I want  imformation about EI,are you look for Regualar Benefit
Hello,Hello World!
i want to apply for EI,https://srv270.hrdc-drhc.gc.ca/AW/introduction?GoCTemplateCulture=en-CA
Hello,Hello World!
I want apply for EI ,visit Canada.ca click Employement and Leave link
I want apply for EI ,visit Canada.ca click Employement and Leave link
I want apply for EI ,visit Canada.ca click Employement and Leave link
hello,Hello World!
I want apply for EI ,visit Canada.ca click Employement and Leave link
Hello,Hello World!
I want apply for EI ,https://www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html
	https://www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html,https://www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html
I want apply for EI,https://www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html
I want apply for EI,Regular benefit if yes click the link https://srv270.hrdc-drhc.gc.ca/AW/introduction?GoCTemplateCulture=en-CA
Hello,Hello World!
Hello,Hello Bonjour How can I help you
hi,Welcome to Service Canada
hello,Hello Bonjour How can I help you
what's up,nothing much
